industry_type,region,country,year,co2_emissions_metrictons,energy_consumption_twh,automobile_co2_emissions_metrictons,industrial_co2_emissions_metrictons,agriculture_co2_emissions_metrictons,domestic_co2_emissions_metrictons,population_millions,gdp_billion_usd,urbanization_percentage,renewable_energy_percentage,industrial_growth_percentage,transport_growth_percentage,co2_emissions_per_capita,energy_consumption_per_capita,renewable_energy_contribution
Manufacturing,South America,India,2006,96.18,925.63,80.96,25.87,3.39,12.87,975.86,8380.91,20.56,65.33,-9.33,6.52,0.09855921956018282,0.9485274527083802,604.714079
Energy,South America,India,2006,259.24,279.11,83.47,145.02,4.7,1.2,518.71,12241.85,90.49,13.14,0.02,6.5,0.499778296157776,0.5380848643750843,36.675054
Manufacturing,South America,India,2006,205.4,696.1,10.81,176.59,28.75,13.74,1042.96,10935.72,60.28,52.34,9.05,0.77,0.19693947994170438,0.6674273222367109,364.33874000000003
Mining,South America,India,2006,295.74,644.06,13.24,52.06,19.3,3.37,731.48,13735.04,67.38,45.56,-2.2,-0.77,0.40430360365286816,0.8804888718761961,293.433736
Manufacturing,South America,India,2006,192.48,211.4,51.2,189.06,43.22,9.66,622.43,22367.26,61.8,22.67,9.91,6.39,0.3092395932072683,0.33963658564015237,47.92438
Energy,South America,India,2006,31.98,141.74,4.25,22.71,30.69,3.08,39.13,1572.21,20.64,71.88,3.0,5.15,0.8172757475083056,3.622284692052134,101.882712
Construction,South America,India,2006,21.37,335.4,35.8,126.88,12.65,18.11,1006.99,11049.46,50.75,31.9,4.2,-0.49,0.021221660592458714,0.3330718279228195,106.99259999999998
Energy,South America,India,2006,223.73,219.32,49.18,4.48,29.39,17.26,673.94,9007.26,66.54,84.57,0.79,2.61,0.33197317268599574,0.32542956346262275,185.47892399999998
Energy,South America,India,2006,298.66,217.5,93.64,154.29,43.9,16.25,1051.37,18351.25,32.3,5.73,8.39,9.56,0.28406745484463136,0.2068729372152525,12.462750000000002
Construction,South America,India,2006,86.84,718.88,47.96,28.36,36.67,3.21,314.79,12582.44,91.83,87.94,11.37,1.61,0.27586645064963944,2.2836811842815843,632.1830719999999
Manufacturing,South America,India,2006,268.04,581.36,14.52,31.99,16.23,16.75,271.62,5845.47,91.93,95.78,11.64,0.23,0.9868198218098815,2.1403431264266253,556.8266080000001
Mining,South America,India,2006,57.3,160.5,39.47,119.93,44.17,1.17,30.0,7414.78,59.49,12.48,12.25,-3.98,1.91,5.35,20.0304
Mining,South America,India,2006,232.94,824.8,13.29,30.39,34.44,8.52,1054.09,700.65,46.01,21.09,4.49,0.8,0.2209868227570701,0.782475879668719,173.95032
Construction,South America,India,2006,161.1,325.0,82.23,188.8,15.07,15.76,1000.55,4266.48,92.38,88.05,0.88,5.39,0.1610114437059617,0.3248213482584579,286.1625
Manufacturing,South America,India,2006,260.53,824.01,90.97,88.18,49.37,15.91,719.77,9748.32,76.72,45.47,12.55,-3.26,0.3619628492435083,1.1448240410131014,374.677347
Energy,South America,India,2006,124.44,26.99,12.51,161.77,0.2,5.75,1002.12,8521.68,55.53,52.2,-1.08,5.49,0.12417674529996407,0.02693290224723586,14.08878
Mining,South America,South Africa,2006,198.27,476.33,59.94,116.4,25.94,14.94,1225.23,20914.83,59.53,85.82,-5.3,2.2,0.16182267819103352,0.38876782318421843,408.786406
Mining,South America,South Africa,2006,209.91,62.48,48.43,176.68,45.12,10.09,578.38,3908.96,76.95,40.53,-9.72,9.39,0.362927487119195,0.10802586534804108,25.323144
Manufacturing,South America,South Africa,2006,78.17,541.7,96.29,194.46,27.56,17.91,164.21,11537.48,22.16,15.8,5.03,1.91,0.4760367821691736,3.2988246757201147,85.5886
Manufacturing,South America,South Africa,2006,290.21,778.06,87.77,27.26,47.1,3.69,143.71,4000.24,50.82,97.74,1.89,9.8,2.019414097835919,5.414097835919559,760.4758439999999
Mining,South America,South Africa,2006,186.91,858.05,15.16,37.01,31.49,7.79,69.95,4888.84,71.28,66.26,14.35,7.61,2.67205146533238,12.266619013581128,568.54393
Energy,South America,South Africa,2006,164.77,716.31,53.06,146.71,45.28,10.93,1155.82,1270.92,39.48,4.32,-5.93,2.83,0.14255679950165254,0.619741828312367,30.944591999999997
Mining,South America,South Africa,2006,1.71,180.96,89.45,169.38,40.86,13.33,274.98,20778.49,92.23,50.66,2.98,3.2,0.006218634082478725,0.6580842243072224,91.674336
Mining,South America,South Africa,2006,108.65,401.78,21.23,64.32,1.06,1.09,622.23,1881.69,92.8,23.28,1.51,3.64,0.174613888754962,0.645709785770535,93.53438399999999
Mining,South America,South Africa,2006,169.32,281.4,39.07,94.88,39.9,13.08,884.67,159.5,39.59,28.48,-3.66,0.55,0.19139340092916002,0.31808470955271456,80.14272
Construction,South America,South Africa,2006,222.91,484.15,63.16,120.75,19.9,5.57,1319.51,13683.5,63.53,32.9,-3.22,-1.73,0.1689339224409061,0.3669165068851316,159.28535
Mining,South America,South Africa,2006,244.04,324.94,71.01,170.73,32.94,8.57,1342.03,21859.36,63.92,58.05,-1.84,-0.13,0.18184392301215324,0.2421257348941529,188.62767
Manufacturing,South America,South Africa,2006,131.75,571.4,44.36,154.29,41.47,6.9,149.61,4450.39,58.28,55.9,-6.44,4.66,0.8806229530111622,3.819263418220707,319.4126
Manufacturing,South America,South Africa,2006,151.49,937.02,72.93,60.92,0.3,12.84,602.72,9889.08,81.41,21.73,0.74,-0.92,0.2513439076187948,1.5546522431643217,203.614446
Energy,South America,South Africa,2006,5.77,265.9,28.24,0.91,18.41,2.84,895.22,6695.18,72.86,52.08,14.51,5.53,0.006445343044167913,0.29702196108219203,138.48072
Energy,South America,South Africa,2006,244.12,711.89,93.44,33.9,36.13,14.24,92.69,10908.73,30.44,97.09,-7.37,6.64,2.633725320962348,7.680332290430467,691.174001
Mining,South America,South Africa,2006,156.08,785.36,88.94,197.52,46.55,1.3,1092.87,15415.63,35.82,12.97,8.13,9.9,0.14281662045805998,0.7186216109875833,101.86119200000002
Mining,South America,South Africa,2006,158.56,563.47,61.97,41.86,11.42,7.64,988.16,597.99,35.34,90.36,-7.73,-1.03,0.1604598445595855,0.5702214216321244,509.151492
Manufacturing,South America,Usa,2006,55.15,593.98,83.58,98.81,35.58,17.01,1477.87,10931.87,44.45,82.76,0.48,1.49,0.03731722005318465,0.40191627139058245,491.577848
Mining,South America,Usa,2006,246.88,709.31,8.03,38.99,17.71,18.43,1329.67,13205.64,34.74,70.69,4.15,0.3,0.1856701286785443,0.5334481487887972,501.4112389999999
Construction,South America,Usa,2006,298.31,718.15,14.57,170.08,48.35,18.86,364.0,690.47,59.24,62.36,11.32,0.55,0.8195329670329671,1.9729395604395603,447.83833999999996
Energy,South America,Usa,2006,51.7,595.42,57.73,69.47,12.67,15.69,1255.4,2669.3,55.86,64.46,13.89,-3.97,0.04118209335669906,0.4742870798151983,383.807732
Manufacturing,South America,Usa,2006,211.5,138.46,82.48,4.45,4.41,18.86,570.65,7725.52,86.91,18.09,4.1,0.88,0.37062998335231756,0.2426355909927276,25.047414000000003
Energy,South America,Usa,2006,83.39,752.27,76.61,69.82,12.87,6.1,486.24,7448.67,34.48,96.02,-5.66,-3.22,0.1714996709443896,1.547116650213886,722.329654
Mining,South America,Usa,2006,289.18,696.04,45.56,132.16,46.31,10.89,395.65,19809.94,65.02,12.24,13.19,0.97,0.7308985214204474,1.7592316441299127,85.195296
Manufacturing,South America,Usa,2006,94.39,368.02,22.54,167.97,36.46,11.1,169.16,8881.99,95.23,1.32,-7.47,-1.02,0.5579924331993379,2.1755734216126745,4.857864
Manufacturing,South America,Usa,2006,252.22,127.2,0.23,20.11,34.14,4.05,1176.15,10440.49,31.19,80.24,3.51,-1.31,0.21444543638141392,0.10814947073077413,102.06528
Construction,South America,Usa,2006,170.0,326.43,90.34,86.3,23.63,3.94,1359.72,21915.74,70.16,71.57,5.34,-0.56,0.12502574059365162,0.24007148530579825,233.625951
Construction,South America,Usa,2006,188.15,929.95,79.34,183.93,48.64,13.77,826.27,19762.58,93.84,21.95,11.61,8.84,0.22771007055805004,1.12547956479117,204.124025
Manufacturing,South America,Usa,2006,76.41,601.02,36.63,171.92,28.68,1.8,836.1,4623.24,59.76,65.52,-7.64,0.48,0.09138858988159311,0.718837459634015,393.788304
Energy,South America,Usa,2006,167.15,830.84,54.88,73.84,45.25,8.31,834.99,2979.14,20.59,59.12,6.0,-3.77,0.2001820381082408,0.9950298805973724,491.19260799999995
Construction,Africa,Australia,2007,59.12,471.91,54.13,184.85,3.63,1.51,1124.7,6258.58,39.62,23.87,-4.64,-2.31,0.052565128478705425,0.41958744554103317,112.644917
Manufacturing,Africa,Australia,2007,39.01,698.79,42.05,45.96,34.57,4.27,1491.4,12879.97,45.29,50.38,-6.44,7.41,0.026156631353091053,0.46854633230521653,352.050402
Construction,Africa,Australia,2007,209.62,306.2,79.37,63.14,8.25,5.98,358.07,12876.16,38.22,45.57,-8.82,0.37,0.5854162593906219,0.8551400564135504,139.53534
Construction,Africa,Australia,2007,204.66,31.81,39.77,9.92,24.08,16.47,700.44,2791.66,38.23,79.6,-7.54,-2.41,0.2921877676888813,0.045414311004511446,25.320759999999996
Energy,Africa,Australia,2007,271.1,491.38,80.4,67.26,48.9,16.13,534.97,6400.89,38.65,4.35,7.24,4.67,0.5067573882647626,0.9185187954464735,21.375029999999995
Energy,Africa,Australia,2007,69.28,521.13,83.92,66.8,0.55,17.02,82.29,17550.22,94.82,48.86,10.02,-1.6,0.8419005954550978,6.33284724753919,254.62411799999998
Energy,Africa,Australia,2007,83.95,525.73,99.66,94.02,35.79,18.65,514.64,15250.62,73.07,2.58,12.38,7.75,0.16312373698119076,1.0215490439919168,13.563834000000002
Mining,Africa,Australia,2007,118.11,313.45,70.57,158.35,20.43,18.38,1054.49,2115.76,24.36,4.87,-4.09,0.54,0.11200675207920416,0.2972527003575188,15.265015
Manufacturing,Africa,Australia,2007,188.31,733.59,85.31,181.39,30.03,19.49,1167.57,1481.08,70.9,28.57,10.86,8.21,0.1612836917700866,0.6283049410313729,209.58666300000002
Manufacturing,Africa,Australia,2007,95.86,737.08,58.11,129.06,20.12,12.56,1188.88,21596.99,78.41,30.56,1.56,-3.46,0.08063050938698606,0.6199784671287262,225.251648
Manufacturing,Africa,Australia,2007,287.96,481.7,25.01,134.56,48.42,10.46,379.12,6350.1,57.41,98.94,-0.07,-3.16,0.7595484279383835,1.2705739607512132,476.59398
Manufacturing,Africa,Australia,2007,275.39,901.35,12.13,124.81,24.03,4.45,1007.69,20579.71,82.18,24.9,-1.61,1.2,0.2732884121108674,0.8944715140569024,224.43614999999997
Mining,Africa,Australia,2007,129.1,791.06,24.8,85.95,14.18,18.8,1091.63,269.03,38.07,62.55,11.31,4.64,0.11826351419436987,0.7246594542106757,494.8080299999999
Manufacturing,Africa,Australia,2007,134.46,387.28,8.24,156.55,9.15,3.83,1463.13,17251.19,27.41,65.5,8.3,-3.2,0.0918988743310574,0.26469281608606204,253.66839999999996
Energy,Africa,Australia,2007,124.39,704.81,22.75,185.76,37.91,5.01,826.4,20467.46,49.62,38.56,-3.83,0.86,0.15052032913843175,0.8528678606001936,271.774736
Manufacturing,Africa,Brazil,2007,251.35,226.29,68.81,164.41,47.03,19.59,969.46,9877.69,89.9,33.56,-4.71,4.04,0.2592680461287727,0.23341860417139437,75.942924
Construction,Africa,Brazil,2007,36.74,444.6,36.89,52.04,28.25,7.66,772.44,16441.98,60.95,82.23,11.91,8.49,0.047563564807622596,0.575578685723163,365.59458000000006
Energy,Africa,Brazil,2007,175.35,174.81,70.05,58.41,39.4,6.62,1405.33,7681.59,77.93,99.82,-2.42,-2.02,0.1247749638874855,0.12439071250169001,174.495342
Mining,Africa,Brazil,2007,206.04,403.54,7.83,150.14,14.78,16.16,274.77,14331.28,64.08,80.69,-3.05,8.47,0.7498635222185829,1.4686465043490922,325.616426
Energy,Africa,Brazil,2007,201.41,195.81,33.16,84.47,28.88,5.31,58.22,2157.93,37.97,34.98,-7.57,4.2,3.4594641016832703,3.363277224321539,68.494338
Mining,Africa,Brazil,2007,246.3,918.44,60.76,7.18,34.95,9.88,932.0,14457.18,59.06,2.45,1.44,9.19,0.26427038626609445,0.9854506437768241,22.501780000000004
Construction,Africa,Brazil,2007,199.88,442.05,52.05,199.52,19.6,16.56,271.07,18269.36,86.26,1.7,1.45,4.49,0.7373741100084849,1.6307595823956913,7.51485
Energy,Africa,Brazil,2007,211.55,111.9,34.2,45.32,33.34,16.3,1428.4,10254.82,61.86,0.38,9.11,3.0,0.14810277233267993,0.07833940072808737,0.42522000000000004
Mining,Africa,Brazil,2007,192.02,380.87,2.98,25.43,11.12,9.03,501.64,14491.2,33.65,73.27,3.08,1.93,0.38278446694840923,0.7592496611115541,279.063449
Mining,Africa,Brazil,2007,211.42,537.01,54.36,175.26,45.85,5.79,1463.72,18697.65,23.62,13.72,-9.38,8.45,0.14444019347962725,0.3668802776487306,73.677772
Construction,Africa,Brazil,2007,180.39,395.42,40.69,12.47,29.84,0.97,332.85,20690.61,40.55,27.78,6.75,6.56,0.541955835962145,1.1879825747333634,109.847676
Mining,Africa,Brazil,2007,156.65,118.72,81.68,84.24,25.87,13.18,868.39,23967.61,68.17,82.05,8.46,-4.16,0.1803912988403828,0.13671276730501272,97.40975999999999
Construction,Africa,Canada,2007,144.23,128.01,62.77,47.44,16.16,13.21,547.51,8779.35,98.39,32.68,10.36,6.27,0.2634289784661467,0.23380394878632352,41.833667999999996
Mining,Africa,Canada,2007,223.94,98.29,68.08,165.65,44.68,10.22,1318.87,16029.41,82.67,16.19,-1.86,7.96,0.16979687156429368,0.07452591991629198,15.913151000000003
Manufacturing,Africa,Canada,2007,217.85,826.53,34.14,22.87,12.05,11.42,945.58,3381.27,20.8,66.95,11.31,-4.85,0.230387698555384,0.8740984369381755,553.361835
Manufacturing,Africa,Canada,2007,87.15,915.48,35.23,20.11,12.91,15.74,777.44,4004.95,89.58,99.16,-4.54,3.53,0.11209868285655485,1.1775571105165672,907.7899679999999
Mining,Africa,Canada,2007,252.72,114.72,71.11,147.5,37.95,10.74,1307.27,13229.61,33.18,67.1,8.03,-1.27,0.1933189012216298,0.08775539865521277,76.97712
Manufacturing,Africa,Canada,2007,51.06,563.03,1.59,166.19,46.9,5.24,309.68,21509.22,72.82,80.38,13.5,1.65,0.16487987600103332,1.8181025574786875,452.56351399999994
Construction,Africa,Canada,2007,293.91,72.59,13.14,174.59,6.6,13.19,1497.98,3730.88,28.43,58.94,5.49,-1.53,0.19620422168520277,0.048458590902415256,42.784546
Construction,Africa,Canada,2007,216.67,592.25,13.64,130.24,35.84,16.05,1359.01,21341.29,44.26,33.91,-8.45,-1.62,0.15943223375839766,0.43579517442844423,200.83197499999997
Manufacturing,Africa,Canada,2007,107.65,928.76,89.61,98.68,21.43,9.3,488.23,1153.44,82.36,20.43,-3.03,8.13,0.22049034266636627,1.9023001454232635,189.745668
Energy,Africa,Canada,2007,139.94,209.87,24.42,164.35,36.7,17.62,900.34,16078.77,63.27,72.83,3.86,1.01,0.15543017082435523,0.23310082857587133,152.848321
Construction,Africa,Canada,2007,74.78,410.74,92.51,170.15,46.05,11.8,332.86,3254.88,21.1,31.7,11.32,-4.21,0.22465901580243947,1.2339722405816258,130.20458
Mining,Africa,Canada,2007,290.4,230.96,71.43,192.86,28.92,16.82,180.02,3434.71,56.85,63.64,-5.17,-4.57,1.6131540939895566,1.2829685590489945,146.982944
Construction,Africa,Canada,2007,287.39,750.98,37.37,59.3,20.97,5.46,1111.96,16155.95,42.39,62.71,1.24,5.98,0.25845354149429833,0.6753660203604446,470.93955800000003
Manufacturing,Africa,Canada,2007,81.82,967.32,33.38,69.67,18.74,18.77,1082.87,24678.3,38.38,63.91,1.62,1.51,0.07555846962239235,0.8932928236999826,618.214212
Mining,Africa,Canada,2007,223.98,890.66,71.48,138.67,9.58,7.74,468.17,20624.56,59.39,81.21,5.66,1.39,0.4784159600145246,1.9024286049939123,723.3049859999999
Manufacturing,Africa,China,2007,40.02,432.27,7.43,158.34,28.53,1.62,1082.31,22396.67,69.65,17.02,-8.51,-0.47,0.036976467001136465,0.3993957368960834,73.57235399999999
Energy,Africa,China,2007,171.39,641.44,81.28,33.44,24.88,9.92,22.52,23581.47,65.52,64.08,7.81,2.17,7.610568383658969,28.48312611012434,411.034752
Construction,Africa,China,2007,210.82,204.24,22.54,4.96,29.56,7.71,1119.09,24484.0,70.25,7.6,-4.37,8.61,0.18838520583688534,0.1825054285178136,15.52224
Manufacturing,Africa,China,2007,179.33,372.92,87.46,22.96,30.71,9.44,297.63,11104.18,79.34,72.51,-9.6,3.08,0.6025266270201257,1.2529650908846555,270.404292
Energy,Africa,China,2007,120.7,348.72,95.88,144.65,6.17,8.92,1044.95,20670.51,68.8,78.23,-1.67,0.3,0.11550791903918847,0.33371931671371835,272.80365600000005
Manufacturing,Africa,China,2007,271.35,423.97,81.9,165.84,32.58,3.24,264.05,19710.08,38.33,52.97,6.73,3.68,1.0276462791138044,1.605642870668434,224.576909
Construction,Africa,China,2007,46.2,626.97,79.65,35.1,28.27,14.13,694.74,15522.02,59.54,45.26,3.6,3.46,0.0664996977286467,0.9024527161240177,283.766622
Energy,Africa,China,2007,232.83,527.69,45.4,172.89,39.11,9.03,888.75,2350.41,91.34,49.0,10.14,-0.54,0.2619746835443038,0.5937440225035162,258.5681
Mining,Africa,China,2007,110.09,360.47,78.13,171.62,43.94,9.99,1209.74,22050.02,98.66,67.68,-0.92,3.36,0.09100302544348372,0.2979731181906856,243.96609600000002
Energy,Africa,China,2007,240.84,922.81,59.76,27.66,14.03,17.54,1170.69,354.01,57.24,23.77,8.45,4.87,0.20572482894703123,0.7882616234870033,219.351937
Manufacturing,Africa,China,2007,238.26,265.46,98.89,106.8,8.03,19.55,802.29,15091.63,24.15,30.33,9.91,8.02,0.2969749093220656,0.3308778621196824,80.514018
Construction,Africa,China,2007,172.04,497.23,84.82,128.43,8.27,7.66,62.55,9056.26,77.06,11.07,7.87,4.4,2.750439648281375,7.949320543565149,55.043361000000004
Construction,Africa,China,2007,244.22,255.85,21.43,127.98,10.13,17.1,764.12,9997.45,21.87,98.93,-1.41,-2.06,0.31960948542113804,0.33482960791498717,253.112405
Mining,Africa,China,2007,283.69,375.62,1.67,120.8,28.86,19.05,174.55,18436.67,74.38,75.31,9.15,-2.09,1.6252649670581494,2.1519335433973072,282.87942200000003
Manufacturing,Africa,China,2007,238.44,342.8,76.19,148.99,29.84,5.29,532.86,3558.93,88.26,77.14,-4.47,5.52,0.44747213151672105,0.643320947340765,264.43592
Mining,Africa,Germany,2007,82.36,972.6,98.32,45.36,10.24,10.03,273.67,15727.81,40.16,39.24,-7.3,-3.63,0.3009463952936018,3.5539152994482404,381.64824
Manufacturing,Africa,Germany,2007,83.57,459.33,97.14,109.43,15.6,4.17,1256.18,20889.48,27.63,29.18,-3.0,9.97,0.06652709006671018,0.36565619576812236,134.03249399999999
Mining,Africa,Germany,2007,66.19,199.39,29.68,169.83,22.28,16.21,1069.31,20128.96,47.17,54.46,5.31,-4.59,0.06189972973225725,0.18646603884748109,108.58779399999999
Construction,Africa,Germany,2007,73.79,577.81,76.19,123.96,42.84,16.95,199.29,20398.36,24.27,67.0,1.7,9.06,0.37026443875758946,2.899342666465954,387.13269999999994
Energy,Africa,Germany,2007,103.47,676.18,78.75,194.67,47.08,13.94,1344.62,18035.1,67.32,78.83,14.83,3.05,0.07695110886347073,0.5028781365739019,533.032694
Energy,Africa,Germany,2007,97.83,736.97,47.72,52.83,9.71,16.3,1226.19,17522.13,99.47,97.64,6.18,7.74,0.07978372030435739,0.6010243110774024,719.5775080000001
Mining,Africa,Germany,2007,76.38,889.21,35.65,134.02,35.96,4.35,79.67,18620.17,90.43,0.71,2.95,9.57,0.9587046567089242,11.161164804819883,6.313391
Manufacturing,Africa,Germany,2007,211.2,498.45,66.03,135.96,27.96,6.16,1287.52,11565.48,52.85,3.33,8.22,-2.51,0.1640362868149621,0.3871396172486641,16.598385
Energy,Africa,Germany,2007,170.25,358.14,86.72,186.21,25.79,11.73,461.31,8833.96,48.03,76.27,4.17,0.52,0.3690576835533589,0.7763542953762111,273.153378
Mining,Africa,Germany,2007,27.5,118.61,95.77,170.3,26.26,5.06,1152.68,3031.56,92.56,48.92,1.41,9.35,0.023857445258007426,0.10289933025644585,58.024012
Construction,Africa,Germany,2007,100.11,815.7,4.96,107.08,35.87,8.13,1138.91,10078.12,56.03,73.42,-9.54,-3.7,0.0878998340518566,0.7162111141354452,598.88694
Mining,Africa,Germany,2007,117.6,471.93,43.7,41.95,15.34,15.09,282.4,12253.98,63.92,57.44,-4.77,1.37,0.4164305949008499,1.6711402266288953,271.076592
Construction,Africa,Germany,2007,262.28,171.4,60.49,55.83,37.66,18.24,744.92,4610.38,64.14,44.77,4.02,-4.45,0.3520914997583633,0.2300918219406111,76.73578
Construction,Africa,Germany,2007,9.99,307.03,15.8,107.7,13.41,19.39,596.48,23855.66,39.34,24.86,-1.4,3.94,0.01674825643776824,0.5147364538626609,76.32765799999999
Energy,Africa,Germany,2007,126.42,559.48,76.29,60.39,29.15,12.01,879.66,22060.35,80.14,3.73,6.01,8.52,0.14371461701111793,0.6360184616783758,20.868604
Energy,Africa,Germany,2007,266.58,67.57,34.51,97.91,31.11,16.87,397.47,13299.47,49.59,76.01,0.64,5.85,0.6706921277077514,0.17000025159131504,51.359956999999994
Manufacturing,Africa,Germany,2007,15.36,564.19,59.33,108.38,41.66,0.64,391.42,7317.37,25.97,38.01,-1.66,5.85,0.03924173522047928,1.4413928772162894,214.448619
Mining,Africa,Germany,2007,28.97,122.44,10.67,10.98,45.03,8.12,1462.97,10232.09,90.98,89.07,5.08,-4.36,0.019802183230004714,0.08369276198418286,109.05730799999999
Manufacturing,Africa,Germany,2007,28.69,204.15,0.61,29.39,8.1,5.25,1007.36,17134.0,97.24,18.81,3.45,8.42,0.028480384371029226,0.20265843392630242,38.400614999999995
Mining,Africa,India,2007,173.66,73.45,16.9,121.22,1.94,5.86,757.58,18723.17,33.0,92.07,6.0,5.75,0.22922991631246864,0.09695345706064046,67.62541499999999
Manufacturing,Africa,India,2007,71.38,237.63,92.5,146.02,0.63,4.99,662.53,24297.42,35.82,6.81,0.54,6.74,0.10773851750109428,0.3586705507675124,16.182603
Construction,Africa,India,2007,243.37,833.76,67.14,10.72,19.61,4.1,1366.23,2446.2,41.25,94.95,7.11,-3.78,0.1781325252702693,0.61026327924288,791.65512
Mining,Africa,India,2007,170.23,387.54,44.68,117.15,11.88,4.48,661.27,8387.31,52.28,98.03,7.55,0.58,0.25742888683896137,0.5860541080042948,379.90546200000006
Energy,Africa,India,2007,91.54,901.64,60.79,62.82,35.32,8.28,630.35,13592.62,24.11,1.42,8.93,6.78,0.14522090901879908,1.4303799476481318,12.803288
Manufacturing,Africa,India,2007,187.12,452.64,8.95,161.04,28.8,5.27,1200.7,5072.91,88.87,14.47,12.27,7.34,0.15584242525193637,0.3769800949446156,65.49700800000001
Construction,Africa,India,2007,224.21,780.87,73.13,6.95,21.56,0.87,1252.75,24962.58,50.01,82.88,-1.88,2.2,0.17897425663540212,0.6233246856914787,647.1850559999999
Manufacturing,Africa,India,2007,77.98,53.31,54.11,127.33,23.5,3.96,1449.56,11187.62,31.02,28.85,0.54,0.98,0.05379563453737687,0.0367766770606253,15.379935
Construction,Africa,India,2007,293.25,502.04,78.31,93.89,33.0,16.29,1060.9,8127.69,69.55,93.15,3.78,3.72,0.27641625035347345,0.47322085022151,467.65026000000006
Energy,Africa,India,2007,185.37,458.74,11.36,132.8,37.88,2.85,1281.48,7850.94,41.66,92.96,11.2,-1.15,0.1446530574023785,0.3579767144239473,426.444704
Mining,Africa,India,2007,126.39,333.57,59.57,98.84,41.8,14.49,1449.48,18484.91,93.35,27.33,8.18,-2.41,0.08719678781356073,0.2301308055302591,91.164681
Construction,Africa,South Africa,2007,31.94,203.86,86.98,54.23,39.46,13.53,723.65,12213.89,69.87,99.8,-1.91,4.41,0.044137359220617706,0.2817107717819388,203.45228
Energy,Africa,South Africa,2007,129.14,126.31,77.98,87.07,40.34,15.74,1402.64,16405.17,62.99,88.27,11.38,6.98,0.09206924086009238,0.0900516169508926,111.493837
Mining,Africa,South Africa,2007,58.6,931.0,14.09,130.77,3.08,2.0,1319.68,2122.75,38.92,79.56,-4.93,9.51,0.04440470417070805,0.7054740543161978,740.7036
Mining,Africa,South Africa,2007,27.62,590.25,34.64,36.76,47.95,5.5,157.91,5091.04,56.17,61.21,-2.4,5.24,0.17490975872332343,3.7378886707618264,361.29202499999997
Mining,Africa,South Africa,2007,190.94,765.36,94.91,184.45,9.95,6.23,270.54,2056.65,55.86,93.06,9.77,9.71,0.7057736379093664,2.8290086493679305,712.244016
Manufacturing,Africa,South Africa,2007,217.11,995.96,94.17,5.01,29.45,17.32,387.88,10027.2,95.45,50.51,-7.28,7.69,0.5597349695782201,2.5677013509332784,503.059396
Mining,Africa,South Africa,2007,166.17,795.03,27.06,130.95,19.56,14.87,1068.42,6124.38,87.36,90.54,6.59,6.85,0.15552872465884202,0.7441174818891446,719.820162
Construction,Africa,South Africa,2007,141.63,27.29,22.44,94.11,33.25,19.27,131.96,963.78,66.58,92.91,-2.17,-0.84,1.073279781752046,0.20680509245225825,25.355138999999998
Energy,Africa,South Africa,2007,176.35,584.14,6.47,175.74,23.97,1.16,124.52,11705.07,58.78,31.4,-4.12,3.39,1.4162383552842917,4.691133954384838,183.41996
Manufacturing,Africa,South Africa,2007,241.51,4.06,21.94,38.85,3.78,10.12,1386.18,19118.18,21.33,7.96,4.43,-1.22,0.17422701236491653,0.002928912551039547,0.32317599999999996
Energy,Africa,South Africa,2007,65.5,609.9,40.2,77.2,43.85,19.63,1269.25,21038.04,73.34,14.66,14.95,8.91,0.05160527870789836,0.48051999212133145,89.41134
Mining,Africa,South Africa,2007,207.55,307.13,28.69,137.59,27.39,2.23,266.8,11295.95,80.24,19.95,-0.81,2.57,0.7779235382308846,1.1511619190404796,61.272434999999994
Mining,Africa,South Africa,2007,174.83,541.49,43.01,63.35,17.3,14.72,706.75,24854.04,63.26,65.79,3.71,5.81,0.24737177219667494,0.7661690838344535,356.24627100000004
Construction,Africa,South Africa,2007,48.55,19.97,44.23,186.04,7.43,8.76,625.98,7143.77,60.88,53.51,-3.9,3.78,0.07755838844691523,0.03190197769896801,10.685946999999999
Manufacturing,Africa,South Africa,2007,60.44,85.12,51.43,82.98,16.63,15.64,41.97,22784.43,65.7,78.0,-8.24,-4.08,1.4400762449368596,2.0281153204670006,66.3936
Manufacturing,Africa,South Africa,2007,290.13,759.28,25.31,166.12,0.31,16.89,544.85,12703.92,20.98,89.86,5.53,5.75,0.5324951821602275,1.393557859961457,682.2890080000001
Manufacturing,Africa,South Africa,2007,104.91,995.72,2.91,183.59,20.25,13.93,875.72,19645.87,76.24,84.76,10.0,7.38,0.11979856575161009,1.1370301009455077,843.9722720000001
Mining,Africa,Usa,2007,210.48,42.13,34.21,127.59,46.77,15.45,1300.53,20764.54,37.6,21.83,-1.04,-1.06,0.16184171068718137,0.03239448532521357,9.196979
Energy,Africa,Usa,2007,198.48,168.69,15.24,127.41,40.84,9.53,1173.39,15123.43,55.88,77.99,10.23,0.48,0.16915092168844115,0.14376294326694447,131.561331
Mining,Africa,Usa,2007,295.59,285.44,34.78,124.25,8.13,12.48,521.19,17723.34,78.35,59.17,3.96,-4.86,0.5671444195015253,0.5476697557512614,168.89484800000002
Construction,Africa,Usa,2007,61.21,617.58,32.62,115.21,29.02,3.47,193.64,850.15,61.65,18.26,8.58,-3.27,0.3161020450320182,3.189320388349515,112.77010800000002
